Designator,Designator,Footprint,JLCPCB Part #
"D1,D7,D5,D6",MBR0530,D_SOD-123F,C5204746
J2,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,C2765186
Y1,ABM8-272-T3,Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm,C20625731
"C10,C8,C28,C13,C1,C3,C4,C21,C7,C9,C5,C2",1μF,C_0402_1005Metric,C14445
"C20,C22,C6,C17,C16,C18,C19,C15,C23,C24,C14",100nF,C_0402_1005Metric,C1525
"C26,C25",15pF,C_0402_1005Metric,C1548
"R1,R2",27.4Ω,R_0402_1005Metric,C31439
R11,0.47Ω,R_0402_1005Metric,C423102
L2,10μH 1A,L_APV_ANR4018,C6808084
SW1,SW_PUSH,SW_Push_SPST_TSA016,C2888430
"C27,C29",4.7μF,C_0402_1005Metric,C23687
SW2,SW_Push,SW_Push_SPST_TSA016,C2888430
U3,AMS1117-3.3,SOT-223-3_TabPin2,C347222
"R7,R10",10kΩ,R_0402_1005Metric,C25531
U4,W25Q128JVSIQ,SOIC-8_5.3x5.3mm_P1.27mm,C97521
"R6,R5",1kΩ,R_0402_1005Metric,C11702
Q3,IRLML2060,SOT-23,C5122027
"C11,C12",10μF,C_0402_1005Metric,C15525
"R3,R4",5.1kΩ,R_0402_1005Metric,C25905
U1,AFC07-S24FCA-00,LCSC_1x24-1MP_P0.5mm_Horizontal,C262567
U2,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,C2040
